last milk,AI bull no ISR,last SCC,AI type,not for AI,exp. Calving,at milk,preg,lact no,status,barach,group,group name,cull date,enter way,breed,MGS,sex,cow name,tag color,no.tag plasic,no tag ,burn no,government no,sire,se number,computer no,cow no,computer mom,avg milk last 10 days,avg milkig time in last 10 days,brd milk kg,brd fat kg,brd prot kg,brd fat pre,brd prot pre,brd SCC,brd ECM,udder,ati,legs,brd milk mom,brd fat kg mom,brd prot mom,brd fat pre mom,brd prot pre mom,brd SCC mom,brd ecm mom,brd tpi mom,brd udder mom,brd legs mom,brd milk sire,brd fat kg sire,brd prot kg sire,brd fat pre sire,brd prot pre sire,brd SCC sire,brd ecm sire,brd tpi sire,brd udder sire,brd legs sire,brd dau fertilty,brd still birth,brd calvig easy,birth date,exit way,exit erson,exiy weight,price per kg,exit price,bayer,calving date,dry date,last dhi date,no dhi ater calving,pl milk kg,last AI date,pl Fat kg,pl prot kg,pl kaktuz_miz,adjust milk kg,adjust fat kg,adjust prot kg,mom se,mom name,DMI,days in preg,bayer name,byaer farm nmae,days after AI,days till next calving,days till dry,enter whight,wining wheight,growth rate,growth rate total,days after dry,BCS date after calvig ,total wight,BCS pick milk date,BCS pick milk,BCS dry date,BCS dry,BCS half dry date,BCS half dry,avg milk,avg ecm,wested days AI,open days,rest days,SCC calc1,ECM total at lact,ecm according the heard,no of milking by day,last DHI date,last heating date,last abortion,adjust ecm,edjust ecm prev lact,adjust prot kg prev lact,adjust milk prev lact,adjust fat kg prev lact,DIM prev lact,mate 1,inseminator name,highet,exp milk kg 305,exp fat kg 305,exp ecm 305,exp prot kg ,match bull,exp exm 305 ?,age by month,adjust ecm,feed lot,days till dry,rep,AI time,fat pre DHI,prot pre DHI,supply,pl prot pre,efect preg date,pl milk,highet date,last calving days in dry,for cull,pl fat pre,preg,PGS,date molk day,last calvig date,fat/prot,last milk1,?,last whight,last wheight date,enter date,enter last date,days in last group,?,last se,birth month,whight1,whight2,whight3,whight4,whight5,whight6,whight7,whight8,whight rate 1,whight rate 2,whight rate 3,whight rate 4,whight rate 5,whight rate 6,whight rate 7,whight rate 8,whight date 1,whight date 2,whight date 3,whight date 4,whight date 5,whight date 6,whight date 7,whight date 8,date pick milk,kg at pick,bying price,?,last vet ,last vet diagnosis,sorting,vac date ,vac drug,last gov no,age in 1 lact,persistence 1,persistence 1,no live bull,live bulld fate,colestrom value1,colestrom value2,refractometers value,remark,last AI date
23.5,3947,71,2,0,,1,0,1,0,3,94,מבכירות*,25/12/2001,60,1,2287,2,,,,,9715,,3338,9715,54,9715,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/1998,4,24,,,,0,20/01/2001,,08/12/2001,11,9441.6,7,312.5,296.9,0,10219.5,319.7,307.6,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,9064,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,8674,38.1,,0,,,00:00,,,,,,,04/12/2014,,0,,  ,,04/12/2014,20/01/2001,,,,,,07/12/2000,,,,,21/10/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,31/10/2001
32.8,,947,,0,,1,0,2,0,3,93,חולבות*,17/02/2002,60,1,3258,2,,,,,9714,,3274,9714,55,9714,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/10/1998,4,99,,,,0,12/12/2001,,11/02/2002,2,2199.7,0,85,69.3,0,8679.7,291.3,274.4,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,2229,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9001,40.1,,0,,,00:00,,,,,,,04/12/2014,,0,,  ,,04/12/2014,12/12/2001,,,,,,07/12/2000,,,,,12/10/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,,,,0,,1,0,1,0,3,94,מבכירות*,09/12/2002,1,1,3274,2,,,,,1024,,3586,1024,58,1024,55,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/12/2000,4,60,,,,1,01/12/2002,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,23.9,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,01/12/2002,,,,578,22/11/2002,,,,,,09/12/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,,,,0,,1,0,1,0,3,94,מבכירות*,18/06/2003,1,1,2357,2,,,,,1025,,3630,1025,62,1025,46697081,6.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2000,4,99,,,,1,06/06/2003,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,29.9,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,06/06/2003,,,,457,10/04/2002,,,,,,19/12/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
43.1,,15,,0,,1,0,2,0,3,93,חולבות*,20/01/2004,1,1,3258,2,,,,,1026,,3586,1026,63,1026,279697081,21.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/2001,4,60,,,,1,03/12/2003,,13/01/2004,2,1897.7,0,84.2,60.7,0,10246.1,360.4,310.5,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,2041,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9919,36.5,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,03/12/2003,,,,587,22/11/2002,,,,,,01/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,3795,,2,0,13/01/2003,0,1,0,0,2,92,עגלות*,19/12/2002,1,1,3304,2,,,,,1027,,3607,1027,64,1027,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/01/2001,4,99,,,,1,04/01/2001,,,,0,2,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,23.4,,0,,,00:00,,,,,12/04/2002,,04/12/2014,,0,,,,04/12/2014,,,,,520,22/11/2002,,,,,,04/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,12/04/2002
27.2,,36,,0,,1,0,2,0,3,93,חולבות*,02/07/2002,60,1,2363,2,,,,,9721,,3304,9721,70,9721,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/12/1998,4,99,,,,0,08/05/2002,,23/06/2002,2,1515.2,0,60.8,46.9,0,7824.8,294.6,242.6,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,1542,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,8010,42.3,,0,,,00:00,,,,,,,04/12/2014,,0,,  ,,04/12/2014,08/05/2002,,,,,,14/01/2001,,,,,20/12/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
29.3,3811,136,2,1,,1,0,2,0,3,93,חולבות*,03/05/2005,1,1,3304,2,,,,,1037,,3651,1037,87,1037,193697081,21.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2001,4,24,,,,1,29/06/2004,,18/04/2005,10,12645.5,3,444.6,375.5,0,13220.8,460.7,384.3,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,11998,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12166,50,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,29/06/2004,,,,378,10/04/2002,,,,,,28/02/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,16/02/2005
27.7,3826,16,2,0,,1,0,1,0,3,94,מבכירות*,11/02/2002,60,1,,2,,,,,9726,,3089,9726,88,9726,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/02/1999,4,24,,,,0,11/04/2001,,07/01/2002,10,9308.4,7,287.9,303.6,0,11097.6,336.6,350,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,8936,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9454,36.3,,0,,,00:00,,,,,,,04/12/2014,,0,,  ,,04/12/2014,11/04/2001,,,,,,02/03/2001,,,,,01/02/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,17/01/2002
31.2,3822,89,2,0,,1,0,2,0,3,93,חולבות*,13/10/2003,60,1,,2,,,,,9728,,3089,9728,89,9728,,17.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/02/1999,4,41,,,,1,21/08/2002,,20/09/2003,13,15100.4,5,554.1,488.3,0,12042.1,437.2,380.5,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,15241,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12198,55.9,,0,,,00:00,,,,,,,04/12/2014,,0,,  ,,04/12/2014,21/08/2002,,,,,,02/03/2001,,,,,10/02/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,17/03/2003
45.2,,32,,0,,1,0,3,0,3,93,חולבות*,17/09/2003,60,1,3070,2,,,,,9732,,3308,9732,90,9732,,22.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/03/1999,4,60,,,,1,02/07/2003,,25/08/2003,2,3493.2,0,99.6,95.8,0,10989.9,312.3,313,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,2958,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9776,54.5,,0,,,00:00,,,,,,,04/12/2014,,0,,  ,,04/12/2014,02/07/2003,,,,,,02/03/2001,,,,,01/03/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
16.6,3822,318,2,0,18/08/2003,0,1,2,0,3,90,יבשות*,30/07/2003,60,1,3123,2,,,,,9719,,3304,9719,91,9719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/1998,4,2,,,,1,07/08/2002,12/06/2003,11/05/2003,10,9360.8,1,320.3,291.8,0,9671.1,325.4,294.9,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,9040,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9373,55.5,,0,,,00:00,,,,,15/11/2002,,04/12/2014,,0,,  ,,04/12/2014,07/08/2002,,,,,,02/03/2001,,,,,10/12/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,15/11/2002
30,7143,546,2,1,,1,0,3,0,3,93,חולבות*,05/01/2004,60,1,3181,2,,,,,9733,,3089,9733,92,9733,,14.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/03/1999,4,24,,,,1,18/06/2003,,16/12/2003,7,6819.5,3,241.3,220.7,0,9835.6,346.6,321.7,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,6802,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,10252,58,,0,,,00:00,,,,,,,04/12/2014,,0,,  ,,04/12/2014,18/06/2003,,,,,,02/03/2001,,,,,04/03/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,07/12/2003
33,,3693,,1,,1,0,6,0,3,1,חולבות,13/12/2009,1,1,3258,2,,,,,1038,,3661,1038,93,1038,283697081,18.2,1,-384,-11.1,-4,0.02,0.07,0.15,-333,97,-407,99,,,,,,,,,,,,,,,,,,,,,,1.835,1.585,02/03/2001,4,60,,,,1,03/05/2009,,23/11/2009,5,7925.4,0,266.1,258.9,0,10404.8,350.9,342.9,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,7813,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,10235,105.2,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,03/05/2009,,,,578,22/11/2002,,,,,,02/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,3795,,2,0,10/04/2003,0,1,0,0,2,92,עגלות*,24/03/2003,1,,3089,2,,,,,1039,,,1039,95,1039,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/03/2001,4,99,,,,1,05/03/2001,,,,0,1,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,24.6,,0,,,00:00,,,,,08/07/2002,,04/12/2014,,0,,,,04/12/2014,,,,,466,22/11/2002,,,,,,05/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,08/07/2002
,,,,0,,1,0,6,0,3,1,חולבות,23/02/2009,1,1,3089,2,,,,,1101,,3863,1101,231,1101,37697081,10.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/01/2002,4,99,,,,1,19/02/2009,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,85.4,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,19/02/2009,,,,432,30/06/2003,,,,,,06/01/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,3980,,2,0,,0,0,0,0,2,92,עגלות*,28/11/2003,1,1,,2,,,,,1102,,3863,1102,239,1102,156697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/01/2002,4,24,,,,1,22/01/2002,,,,0,6,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,22.1,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,,,,,400,30/06/2003,,,,,,22/01/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,04/10/2003
,,,,0,,0,0,0,0,2,92,עגלות*,25/01/2002,1,1,3289,2,,,,,,,3686,-175,242,-175,175697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/01/2002,4,80,,,,0,24/01/2002,,,,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,0,,0,,,00:00,,,,,,,04/12/2014,,0,,תאומה לזכר -לא להזרעה,,04/12/2014,,,,,,,,,,,,24/01/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
15,,14895,,1,,1,0,3,0,3,1,חולבות,29/08/2006,1,1,5179,2,,,,,1103,,3570,1103,244,1103,381697081,25.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/01/2002,4,30,,,,1,18/06/2006,,21/08/2006,2,1686.4,0,78.8,58.1,0,6281.7,259.7,230.5,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,1923,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,7063,54.8,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,18/06/2006,,,,658,30/11/2003,,,,,,30/01/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,3811,,2,0,29/02/2004,0,1,0,0,2,92,עגלות*,16/02/2004,1,1,3123,2,,,,,1104,,3949,1104,245,1104,127697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/02/2002,4,60,,,,1,04/02/2002,,,0,0,1,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,24.3,,0,,,00:00,,,,,29/05/2003,,04/12/2014,,0,,,,04/12/2014,,,,,606,30/11/2003,,,,,,04/02/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,29/05/2003
