r_last_halav,mispar_par_mazria,r_last_somatim,r_sug_last_hazraa,ri_hafsakat_hazraa,r_trc_hamlata_zfuy,ri_holevet,ri_hara,r_tahluva,c_status_bakar,c_shluha,c_kvuza,r_teur_kvuza,r_trc_yezia,c_knisa,c_geza,mispar_av_em,c_min,r_shem,c_zeva,r_otomati,r_kvia,r_ozen,c_par,mispar_par,k_zhy_unique,k_zhy_movil,c_em_unique,r_memuza_halav_yomi,r_memuza_halivot,r_ag_kg_halav,r_ag_kg_shuman,r_ag_kg_helbon,r_ag_ahuz_shuman,r_ag_ahuz_helbon,r_ag_ahuz_rts,r_ag_kg_hamam,r_calc_tpi,r_reglaim,ag_kg_halav_m,ag_kg_shuman_m,ag_kg_helbon_m,ag_ahuz_shuman_m,ag_ahuz_helbon_m,ag_ahuz_rts_m,ag_kg_hamam_m,r_calc_tpi_m,r_atin_klali_m,r_reglaim_m,ag_kg_halav_f,ag_kg_shuman_f,ag_kg_helbon_f,ag_ahuz_shuman_f,ag_ahuz_helbon_f,ag_ahuz_rts_f,ag_kg_hamam_f,r_calc_tpi_f,r_atin_klali_f,r_reglaim_f,comp_ag_brd_frt_f,r_horasha_tmotat_vladot,r_horasha_hamlata_k,r_atin_klali,r_trc_lida,c_ofen_yezia,c_siba,r_mishkal,r_mehir_kg,r_mehir_bakar,c_lakoah,r_trc_hatchala,r_trc_ybush,r_bikoret_ahron,r_bikoret,chalav_miz,azraa_aharon,suman_miz,chelbon_miz,lkaktuz_miz,chalav_metukan,suman_metukan,helbon_metukan,comp_se_em,comp_shem_em,comp_yamim_batchluva,comp_yemey_herayon,comp_shem_kone,comp_meshek_kodem,comp_yamim_mehazraa,comp_yamim_lehamlata,comp_yamim_leyebush,comp_mishkal_knisa,comp_mishkal_gmila,,comp_mishkal_leyom,comp_yamim_beyebush,comp_date_tzyun_hamlata,comp_derug_hamlata,comp_date_tzyun_chalav,comp_derug_si_halav,comp_date_tzyun_yoves,comp_derug_yovesh,comp_date_tzyun_emza_yoves,comp_derug_emza,comp_halav_yomi,comp_hamam_yomi,comp_srak,comp_rik,comp_menucha,comp_somatim_1,chamam_mitztaber,hefres_eder,halivot_aharon,chamam_bikoret_achrona,comp_date_drisha,comp_date_hapala,hmm_mtukan,copm_hmm_mtukan_befor,copm_helbon_mtukan_befor,copm_halav_mtukan_befor,copm_shuman_mtukan_befor,copm_ymei_heryon_befor,r_match_par_1,shem_mazriaa,comp_gova,comp_halav_p,comp_shuman_p,comp_hamam_p,comp_helbon_p,comp_match_par,r_hmm_muarah,comp_gil_bechodashim,comp_hmm_mtukan,c_pitum,date_comp_yamim_leyebush,comp_ashnot,shaa_mazriaa,comp_shuman_bikoert,comp_helbun_bikoert,comp_sapak,comp_avg_helbon_all_life,r_trc_hafraia,comp_tnuvat_haim,comp_trc_gova,comp_yebush_befor,r_ind_suman_leyezia,comp_avg_shuman_all_life,r_heara,comp_av_hhav,comp_trc_halav_yomi,comp_hamlata_haharon,comp_shuman_per_helbun_bikoert,comp_last_halav1,comp_null_integer,comp_mishkal,comp_date_mishkal,r_trc_knisa,r_trc_last_knisa,comp_shehut_kvuza,comp_null_dec,comp_eder_kodem,comp_month_lida,skila1,skila2,skila3,skila4,skila5,skila6,skila7,skila8,tami_skila1,tami_skila2,tami_skila3,tami_skila4,tami_skila5,tami_skila6,tami_skila7,tami_skila8,trc_skila1,trc_skila2,trc_skila3,trc_skila4,trc_skila5,trc_skila6,trc_skila7,trc_skila8,comp_peak,comp_peak_yamim,comp_mehir_knia,comp_yamim_hlv_kodem,comp_trc_avhana,comp_avhana,ext_sort_selected,comp_trc_hisun,comp_hisun,comp_ozen_old,ext_gil_hamlata1,ext_hatmada_h,ext_hatmada_p,comp_par_harbaa,comp_trc_par_harbaa,comp_erch_colostrum_1,comp_erch_colostrum_2,comp_erch_refractometers,comp_bne_bakar_remarks
,,,,0,,1,0,2,0,3,93,חולבות*,01/06/2004,1,1,3274,2,,,,1041,,3901,3901,99,1041,205697081,3.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/03/2001,4,30,,,,1,30/05/2004,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,38.5,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,30/05/2004,,,,340,10/04/2002,,,,,,01/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
42.8,7203,132,2,0,,1,0,3,0,3,93,חולבות*,05/01/2006,1,1,3376,2,,,,1042,,3570,3570,102,1042,287697081,18.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/03/2001,4,24,,,,1,15/04/2005,,22/12/2005,8,12119.9,7,405.9,365.5,0,13140.8,444.1,399.8,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,11407,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12661,57.4,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,15/04/2005,,,,480,22/11/2002,,,,,,01/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
14.2,,917,,0,,1,0,2,0,3,93,חולבות*,04/08/2004,1,1,5190,2,,,,1043,,3304,3304,103,1043,285697081,12.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/03/2001,4,61,,,,1,13/07/2004,,18/07/2004,1,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,40.2,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,13/07/2004,,,,426,22/11/2002,,,,,,01/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
31.6,,65,,1,,1,0,2,0,3,93,חולבות*,02/01/2005,1,1,3481,2,,,,1044,,3652,3652,104,1044,288697081,11.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/03/2001,4,30,,,,1,09/07/2004,,21/12/2004,6,5933.2,0,225.7,193.1,0,9980.3,372.1,324.5,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,6085,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,10060,45.2,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,09/07/2004,,,,587,22/11/2002,,,,,,01/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
26.2,,51,,1,,1,0,4,0,3,1,חולבות,24/01/2007,1,1,3304,2,,,,1055,,3651,3651,130,1055,300697081,10.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/07/2001,4,61,,,,1,18/07/2006,,25/12/2006,6,5080.9,0,185.3,164.1,0,8222.7,310,271.4,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,5114,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,8406,66.1,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,18/07/2006,,,,432,22/11/2002,,,,,,01/07/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
46.5,,693,,0,,1,0,5,0,3,1,חולבות,22/02/2008,1,1,3235,2,,,,1056,,3651,3651,131,1056,221697081,7.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/07/2001,3,52,,,,1,23/12/2007,,28/01/2008,1,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,78.8,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,23/12/2007,,,,475,22/11/2002,,,,,,01/07/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
29.5,,108,,1,,1,0,3,0,3,1,חולבות,15/07/2007,1,1,3776,2,,,,1057,,3570,3570,132,1057,298697081,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/07/2001,4,69,,,,1,30/04/2006,,25/06/2007,14,17582.6,0,664.9,593.4,0,12810.1,443.9,403.1,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,18365,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,13069,71.5,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,30/04/2006,,,,649,30/06/2003,,,,,,01/07/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
44.6,,51,,0,,1,0,3,0,3,93,חולבות*,08/02/2006,1,1,3304,2,,,,1058,,3651,3651,134,1058,301697081,22.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/07/2001,4,62,,,,1,01/11/2005,,22/01/2006,3,4293.4,0,168.6,128.6,0,10518,382.2,321.1,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,4259,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,10893,54.3,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,01/11/2005,,,,587,30/06/2003,,,,,,01/07/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
34.4,7350,91,2,0,,1,0,3,0,3,1,חולבות,24/04/2006,1,1,3304,2,,,,1059,,3651,3651,135,1059,194697081,14.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/08/2001,4,24,,,,1,12/09/2005,,17/04/2006,8,8584.9,3,320,271.1,0,10827.2,397.1,339.9,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,8598,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,11063,56.6,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,12/09/2005,,,,608,30/06/2003,,,,,,01/08/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
27.1,7184,135,2,1,,1,0,1,0,3,94,מבכירות*,02/01/2005,1,1,3727,2,,,,1078,,3646,3646,181,1078,263697081,15.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/10/2001,4,24,,,,1,06/11/2003,,21/12/2004,14,12860.8,3,477.6,441.1,0,10612.7,381.5,347.9,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,13474,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9721,38.2,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,06/11/2003,,,,504,30/06/2003,,,,,,01/10/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,3859,,2,0,25/11/2003,0,1,0,0,2,92,עגלות*,04/11/2003,1,1,3148,2,,,,1079,,3904,3904,182,1079,75697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/10/2001,4,99,,,,1,28/10/2001,,,0,0,2,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,24.2,,0,,,00:00,,,,,22/02/2003,,13/05/2015,,0,,,,13/05/2015,,,,,530,30/06/2003,,,,,,01/10/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,5283,,2,0,01/10/2003,0,1,0,0,2,92,עגלות*,15/09/2003,1,1,3391,2,,,,1080,,3586,3586,183,1080,329697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/10/2001,4,60,,,,1,30/10/2001,,,0,0,1,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,22.5,,0,,,00:00,,,,,29/12/2002,,13/05/2015,,0,,,,13/05/2015,,,,,551,30/06/2003,,,,,,01/10/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
20.2,3966,82,2,1,,1,0,2,0,3,93,חולבות*,09/12/2005,1,1,3274,2,,,,1081,,3904,3904,184,1081,256697081,15,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/10/2001,4,24,,,,1,07/10/2004,,17/11/2005,13,13662.7,7,569.5,495,0,10930.6,426.4,369.8,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,15359,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,11768,49.2,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,07/10/2004,,,,475,30/06/2003,,,,,,01/10/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,5283,,2,0,08/10/2003,0,1,0,0,2,92,עגלות*,15/09/2003,1,1,3308,2,,,,1082,,3586,3586,185,1082,264697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2001,4,60,,,,1,01/11/2001,,,0,0,1,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,22.4,,0,,,00:00,,,,,05/01/2003,,13/05/2015,,0,,,,13/05/2015,,,,,504,30/06/2003,,,,,,01/11/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
33.3,7400,7375,2,1,,1,0,3,0,3,1,חולבות,05/06/2007,1,1,,2,,,,1083,,3833,3833,188,1083,211697081,12.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/11/2001,4,60,,,,1,09/08/2006,,30/05/2007,10,12485.5,4,424.6,388.6,0,12165.9,405.3,376.7,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,12022,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12150,66.9,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,09/08/2006,,,,560,30/06/2003,,,,,,01/11/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
39.8,,35,,1,,1,0,2,0,3,93,חולבות*,25/05/2005,1,1,3168,2,,,,1084,,3652,3652,189,1084,88697081,20.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/11/2001,4,60,,,,1,03/02/2005,,17/05/2005,4,4365.7,0,181.8,139.4,0,10408.9,414.8,338.2,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,4579,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,10809,42.5,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,03/02/2005,,,,560,30/11/2003,,,,,,01/11/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
